Car_Fullname,Total_Status_Count,Total_Favorite_Count,Total_Retweet_Count
BMW X4 xDrive20d,0,0,0
BMW X4 xDrive30d,0,0,0
BMW X4 xDrive30i,0,0,0
Toyota Camry Hybrid,5,0,0
Mahindra Alturas G4 2WD AT,0,0,0
Mahindra Alturas G4 4WD AT,0,0,0
BMW M2 Competition Coupe,0,0,0
Porsche Cayenne Diesel,0,0,0
Porsche Cayenne E-Hybrid,0,0,0
Porsche Cayenne Turbo,5,0,0
Isuzu MU-X 4x2,0,0,0
Isuzu MU-X 4x4,0,0,0
Honda CR-V 2WD Petrol CVT,0,0,0
Honda CR-V 2WD Diesel AT,0,0,0
Honda CR-V AWD Diesel AT,0,0,0
Maruti Suzuki Ciaz 1.5L Delta AT Smart Hybrid,0,0,0
Maruti Suzuki Ciaz 1.5L Zeta AT Smart Hybrid,0,0,0
Maruti Suzuki Ciaz 1.5L Alpha AT Smart Hybrid,0,0,0
Honda Jazz VX CVT,0,0,0
Honda Jazz V CVT,0,0,0
Mini Cooper 5 Door Cooper D,0,0,0
Mini Convertible Cooper S,0,0,0
Hyundai Creta 1.6 VTVT SX AT,0,0,0
Hyundai Creta 1.6 CRDI SX AT,0,0,0
Mini Countryman Cooper S,0,0,0
Mini Countryman Cooper SD,0,0,0
Mini Countryman Cooper S JCW Inspired,0,0,0
Toyota Yaris VX CVT,0,0,0
Toyota Yaris V CVT,0,0,0
Maserati Levante Diesel,1,0,0
Maserati Levante GranSport,1,0,0
Maserati Levante GranLusson,0,0,0
BMW X3 xDrive 20d Expedition,0,0,0
BMW X3 xDrive 20d Luxury Line,0,0,0
BMW X3 xDrive 30i Luxury Line,0,0,0
BMW X3 xDrive20d xLine,0,0,0
Mahindra XUV500 G AT,0,0,0
Mahindra XUV500 W7 AT,0,0,0
Mahindra XUV500 W9 AT,0,0,0
Mahindra XUV500 W11 AT,0,0,0
Mahindra XUV500 W11 (O) AT,0,0,0
Mahindra XUV500 W11 (O) AWD AT,0,0,0
Audi RS 5 Coupe,0,0,0
Toyota Land Cruiser Prado VX L,0,0,0
BMW M3 Sedan,0,0,0
